"live_url","new_path","type","title","has_description","blocks"
"https://elad-digital.co.il/%d7%a6%d7%a8%d7%95-%d7%a7%d7%a9%d7%a8/","/צרו-קשר/","page","צרו קשר","yes","7"
"https://elad-digital.co.il/%d7%aa%d7%99%d7%95%d7%95%d7%9a-%d7%a2%d7%a1%d7%a7%d7%99%d7%9d/","/תיווך-עסקים/","page","הכל על תיווך עסקים - קנייה ומכירת עסקים","yes","23"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%90%d7%93%d7%a8%d7%99%d7%9b%d7%9c%d7%99%d7%9d/","/ייעוץ-עסקי-לאדריכלים/","page","ייעוץ עסקי לאדריכלים | להפוך מאדריכל מעולה לבעל עסק מצליח","yes","21"
"https://elad-digital.co.il/%d7%a1%d7%95%d7%92%d7%99-%d7%90%d7%a1%d7%98%d7%a8%d7%98%d7%92%d7%99%d7%95%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7%d7%99%d7%95%d7%aa/","/סוגי-אסטרטגיות-שיווקיות/","page","5 סוגי אסטרטגיות שיווקיות | אסטרטגיות שיווק שאתם חייבים להכיר","yes","20"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a7%d7%95%d7%a1%d7%9e%d7%98%d7%99%d7%a7%d7%90%d7%99%d7%95%d7%aa/","/ייעוץ-עסקי-לקוסמטיקאיות/","page","ייעוץ עסקי לקוסמטיקאיות - המדריך המלא להצלחה בתחום הביוטי","yes","30"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a1%d7%98%d7%90%d7%a8%d7%98%d7%90%d7%a4%d7%99%d7%9d/","/ייעוץ-עסקי-לסטארטאפים/","page","ייעוץ עסקי לסטארטאפים | שלבים הכרחיים להצלחה מאת אלעד שורתי","yes","15"
"https://elad-digital.co.il/%d7%90%d7%95%d7%93%d7%95%d7%aa-2/","/אודות-2/","page","ייעוץ אסטרטגי | מה זה ולמי זה מתאים? | אלעד שורתי","yes","18"
"https://elad-digital.co.il/%d7%9e%d7%a0%d7%98%d7%95%d7%a8-%d7%a2%d7%a1%d7%a7%d7%99/","/מנטור-עסקי/","page","מנטור עסקי | למה הוא כל כך חשוב לעסק? | אלעד שורתי","yes","16"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%97%d7%a0%d7%95%d7%99%d7%95%d7%aa-%d7%a8%d7%94%d7%99%d7%98%d7%99%d7%9d/","/ייעוץ-עסקי-לחנויות-רהיטים/","page","ייעוץ עסקי לחנויות רהיטים | המדריך המלא מאת אלעד שורתי","yes","21"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a1%d7%95%d7%9b%d7%a0%d7%99-%d7%91%d7%99%d7%98%d7%95%d7%97/","/ייעוץ-עסקי-לסוכני-ביטוח/","page","ייעוץ עסקי לסוכני ביטוח | למה לשים לב וממה להזהר?","yes","29"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%99%d7%99%d7%91%d7%95%d7%90%d7%a0%d7%99%d7%9d/","/ייעוץ-עסקי-לייבואנים/","page","ייעוץ עסקי לייבואנים | להוריד גז מהמקצועי ולתת גז בעסקי","yes","16"
"https://elad-digital.co.il/qa/","/qa/","page","שאלות תשובות עיצוב חדש - אלעד- יועץ ופיתוח עסקי","yes","7"
"https://elad-digital.co.il/%d7%9e%d7%93%d7%99%d7%a0%d7%99%d7%95%d7%aa-%d7%a4%d7%a8%d7%98%d7%99%d7%95%d7%aa/","/מדיניות-פרטיות/","page","מדיניות פרטיות | אלעד שורתי","yes","25"
"https://elad-digital.co.il/%d7%94%d7%a6%d7%94%d7%a8%d7%aa-%d7%a0%d7%92%d7%99%d7%a9%d7%95%d7%aa/","/הצהרת-נגישות/","page","הצהרת נגישות | אלעד שורתי","yes","6"
"https://elad-digital.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%a2%d7%a1%d7%a7%d7%99/","/אימון-עסקי/","page","אימון עסקי | מה זה ומה כולל התהליך | אלעד שורתי","yes","15"
"https://elad-digital.co.il/%d7%91%d7%a0%d7%99%d7%99%d7%aa-%d7%90%d7%aa%d7%a8%d7%99%d7%9d/","/בניית-אתרים/","page","בניית אתרים | בנייה ועיצוב אתרים לעסקים","yes","18"
